165 189
188 189
264 326
247 341
193 279
165 280
99 339
83 323

199 136  triangle
309 325
74 325

225 120
353 321
231 262
129 326

150 173
407 173
407 358
277 242
149 361

141 162
311 175
332 337
235 299
147 336

137 198
245 143
356 193
355 362
137 363

127 166
145 148
314 148
327 163
327 326
313 342
149 342
131 327

99 157
138 158
138 301
272 301
272 345
95 345

109 193
207 152
302 191
302 362
208 315
112 357

114 165
209 193
311 162
282 272
309 356
204 326
108 357
139 259

173 203
202 103
221 201
280 263
234 226
199 212
161 230
119 273

97 280
219 86
337 276
216 344

164 152  A-like thing
212 152
287 317
241 317
213 254
173 254
145 314
106 314

140 156
198 156
281 330
50 330

134 165
276 165
305 199
305 321
254 321
211 277
167 321
119 321
119 185

118 169
199 147
291 163
312 263
292 341
206 355
115 332
98 251

182 138
258 211
269 316
207 297
180 252
156 299
90 312
102 214

112 148
193 149
278 320
190 258
190 320
112 320

174 139
214 163
213 211
254 229
248 278
289 309
238 329
195 306
138 327
100 302
64 321
67 266
110 252
110 212
155 200
150 160

98 154
135 136
172 160
227 139
265 158
301 144
321 183
296 228
318 273
298 317
315 349
253 367
199 337
140 363
106 326
86 342
79 285
118 242
86 208
109 179

101 139  square
344 139
344 365
103 365

165 189  copy of model
188 189
264 326
247 341
193 279
165 280
99 339
83 323

